player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Own Goal Against,Pass,Player Off,Player On,Pressure,Shot,Offside,Shield,Bad Behaviour,50/50
5694,Hotaru Yamaguchi,Japan,91,4,1,71,2,0,0,4,3,0.0,2,1,0,0,1,0.0,99,0.0,0.0,25,0,0.0,0.0,0.0,0.0
5695,James David Rodríguez Rubio,Colombia,113,12,3,102,0,0,12,2,7,0.0,4,2,0,0,2,0.0,104,0.0,0.0,56,3,0.0,0.0,0.0,1.0
5696,Santiago Arias Naranjo,Colombia,142,23,7,134,8,0,2,4,10,0.0,9,5,0,6,2,0.0,215,0.0,0.0,72,1,1.0,0.0,0.0,0.0
5697,Genki Haraguchi,Japan,107,6,6,90,3,4,3,7,12,0.0,4,4,0,4,6,0.0,86,0.0,0.0,62,3,0.0,0.0,0.0,1.0
5713,Mohammed Kanoo,Saudi Arabia,13,1,1,8,0,0,0,1,1,0.0,1,0,0,0,0,0.0,10,0.0,0.0,7,1,0.0,0.0,0.0,0.0
5714,Mohammed Khalil Al Owais,Saudi Arabia,9,4,0,10,0,0,0,0,0,1.0,0,0,16,0,0,0.0,25,0.0,0.0,0,0,0.0,0.0,0.0,0.0
5715,Ali Albulayhi,Saudi Arabia,36,3,3,32,2,0,0,1,1,0.0,0,0,0,3,0,0.0,42,0.0,0.0,5,0,0.0,0.0,0.0,0.0
5716,Hussain Al Mogahwi,Saudi Arabia,114,11,2,109,1,0,2,1,5,0.0,2,4,0,1,1,0.0,107,0.0,0.0,31,4,0.0,0.0,0.0,0.0
5717,Diego Sebastián Laxalt Suárez,Uruguay,84,7,7,82,5,2,2,12,10,0.0,5,5,0,6,1,0.0,123,0.0,0.0,67,1,0.0,0.0,0.0,0.0
5718,Rodrigo Moreno Machado,Spain,24,2,1,13,0,1,1,0,1,0.0,1,1,0,0,4,0.0,10,0.0,0.0,6,4,0.0,0.0,0.0,0.0
5719,Marco Asensio Willemsen,Spain,77,3,1,61,0,2,5,0,1,0.0,0,3,0,0,3,0.0,67,0.0,0.0,10,3,0.0,0.0,0.0,0.0
5720,Milad Mohammadi,Iran,8,4,1,10,0,1,1,3,5,0.0,0,1,0,4,1,0.0,19,0.0,0.0,6,0,0.0,0.0,0.0,1.0
5721,Daniel Carvajal Ramos,Spain,155,13,3,133,2,3,6,5,4,0.0,2,2,0,1,1,0.0,181,0.0,0.0,32,2,0.0,2.0,0.0,0.0
5722,Saeid Ezatolahi Afagh,Iran,34,8,6,34,7,0,3,8,2,0.0,4,5,0,3,1,0.0,44,0.0,0.0,41,1,0.0,0.0,0.0,1.0
5723,Gelson Dany Batalha Martins,Portugal,19,2,1,16,0,4,3,0,2,0.0,0,1,0,0,0,0.0,9,0.0,0.0,6,0,0.0,0.0,0.0,0.0
5724,Fayçal Fajr,Morocco,19,1,0,16,0,0,1,0,1,0.0,3,0,0,0,1,0.0,22,0.0,0.0,14,0,0.0,0.0,0.0,0.0
5725,Mehdi Carcela-González,Morocco,12,0,0,8,0,2,0,0,1,0.0,1,0,0,0,0,0.0,8,0.0,0.0,1,0,0.0,0.0,0.0,0.0
5726,Khalid Boutaïb,Morocco,62,5,1,25,1,2,3,1,8,0.0,3,3,0,1,4,0.0,26,0.0,0.0,48,4,0.0,0.0,0.0,0.0
5727,Nabil Dirar,Morocco,67,13,7,68,4,0,5,2,8,0.0,5,0,0,4,1,0.0,92,0.0,0.0,33,2,0.0,0.0,0.0,1.0
5732,Andreas Evald Cornelius,Denmark,76,4,1,30,0,0,4,2,9,0.0,3,3,0,0,6,0.0,35,1.0,1.0,31,1,0.0,0.0,0.0,0.0
5737,Steven N''Kemboanza Mike Christopher Nzonzi,France,15,0,1,9,0,0,0,0,1,0.0,0,1,0,0,0,0.0,15,0.0,0.0,2,0,0.0,0.0,0.0,0.0
5737,Steven N'Kemboanza Mike Christopher Nzonzi,France,71,1,1,64,4,0,0,0,5,0.0,2,1,0,2,0,0.0,87,0.0,0.0,11,0,0.0,0.0,0.0,0.0
