player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,match_id,Bad Behaviour,Own Goal Against,50/50,Own Goal For
8311,Jonathan Schmid,Hoffenheim,1,0,0,2,0,0,1,0,0,,0,0,0,0,0,0.0,1,,,0,0.0,0,3890452,0.0,,0.0,
8387,Mark Uth,Hoffenheim,40,3,2,27,1,2,3,3,2,,1,3,0,2,3,0.0,22,,,28,0.0,2,3890452,0.0,,0.0,
8393,Oliver Baumann,Hoffenheim,28,6,0,25,0,0,0,0,0,,0,0,15,0,0,0.0,46,,,0,0.0,0,3890452,0.0,,0.0,
8403,Nadiem Amiri,Hoffenheim,43,5,2,40,0,1,4,2,2,,1,0,0,1,3,0.0,39,,,17,0.0,3,3890452,0.0,,1.0,
8404,Eugen Polanski,Hoffenheim,1,1,0,2,0,0,0,0,2,,2,0,0,0,0,0.0,3,,,5,0.0,0,3890452,0.0,,0.0,
8539,Danny Latza,FSV Mainz 05,27,3,4,20,0,1,0,3,1,,4,1,0,1,0,0.0,24,,,21,0.0,1,3890452,0.0,,1.0,
8548,Daniel Brosinski,FSV Mainz 05,33,3,3,28,5,0,0,1,5,,0,0,0,0,1,0.0,42,,,20,0.0,0,3890452,0.0,,0.0,
8555,Pablo Ezequiel De Blasis,FSV Mainz 05,11,1,0,9,0,0,0,0,1,,0,0,0,0,1,0.0,8,,,0,0.0,0,3890452,0.0,,0.0,
8561,Fabian Frei,FSV Mainz 05,20,3,2,21,0,0,1,1,1,,4,0,0,2,0,0.0,26,,,7,0.0,1,3890452,0.0,,0.0,
8679,Yunus Mallı,FSV Mainz 05,34,2,0,23,0,0,0,0,0,,1,0,0,0,1,0.0,28,,,8,0.0,2,3890452,0.0,,0.0,
8817,Jhon Andrés Córdoba Copete,FSV Mainz 05,51,2,1,25,1,1,3,1,1,,2,4,0,0,1,0.0,23,,,16,0.0,3,3890452,0.0,,0.0,
8890,Christoph Moritz,FSV Mainz 05,2,0,1,1,0,0,0,2,0,,0,0,0,0,0,0.0,1,,,4,0.0,0,3890452,0.0,,0.0,
9098,Christian Clemens,FSV Mainz 05,28,0,3,18,0,0,1,1,1,,0,0,0,1,2,0.0,17,,,27,0.0,2,3890452,0.0,,0.0,
9397,Pavel Kadeřábek,Hoffenheim,24,3,3,17,1,0,0,1,4,,0,1,0,3,0,0.0,39,,,11,0.0,0,3890452,0.0,,0.0,
9720,Philipp Ochs,Hoffenheim,37,4,1,38,1,0,0,1,3,,0,0,0,2,0,0.0,57,,,6,0.0,1,3890452,0.0,,0.0,
12321,Tobias Strobl,Hoffenheim,31,1,4,33,3,1,0,0,4,,2,3,0,3,2,0.0,39,,,19,0.0,1,3890452,0.0,,0.0,
15847,Alexander Hack,FSV Mainz 05,68,4,1,64,4,1,0,1,3,,0,0,0,5,0,0.0,84,,,12,0.0,0,3890452,0.0,,0.0,
18399,Gaëtan Bussmann,FSV Mainz 05,39,4,2,38,1,1,2,0,5,,1,1,0,2,1,1.0,53,,,19,1.0,1,3890452,0.0,,0.0,
20037,Julian Baumgartlinger,FSV Mainz 05,42,5,0,33,2,2,0,3,4,,0,1,0,3,2,0.0,51,,,24,0.0,0,3890452,0.0,,0.0,
27317,Eduardo Jesús Vargas Rojas,Hoffenheim,36,6,2,32,0,2,5,0,2,,1,1,0,2,0,0.0,28,,,7,0.0,1,3890452,0.0,,1.0,
30847,Jiloan Hamad,Hoffenheim,13,1,0,6,0,0,2,0,1,,0,1,0,1,0,0.0,9,,,10,0.0,0,3890452,0.0,,0.0,
3053,Leroy Sané,Schalke 04,32,5,0,26,0,0,5,0,2,,3,1,0,0,4,0.0,19,0.0,0.0,9,0.0,1,3890455,,,0.0,
3499,Jean-Eric Maxim Choupo-Moting,Schalke 04,13,1,0,13,0,2,1,0,1,,0,1,0,0,1,0.0,11,1.0,1.0,2,0.0,0,3890455,,,0.0,
3502,Joël Andre Job Matip,Schalke 04,31,2,5,24,5,0,0,0,2,,0,2,0,1,0,0.0,35,0.0,0.0,7,1.0,3,3890455,,,0.0,
3510,Sead Kolašinac,Schalke 04,29,6,3,28,3,0,1,0,4,,2,0,0,2,0,0.0,55,0.0,0.0,11,0.0,0,3890455,,,0.0,
5242,Younès Belhanda,Schalke 04,37,7,3,24,2,0,3,1,2,,2,2,0,0,2,0.0,24,0.0,0.0,15,0.0,1,3890455,,,0.0,
5557,Timo Werner,VfB Stuttgart,44,0,0,25,0,2,0,0,4,,0,2,0,0,3,1.0,21,0.0,0.0,12,0.0,5,3890455,,,0.0,
5591,Filip Kostić,VfB Stuttgart,34,6,3,30,1,4,1,0,5,,1,0,0,0,3,0.0,34,0.0,0.0,13,0.0,1,3890455,,,1.0,
6324,Leon Goretzka,Schalke 04,33,2,0,21,8,1,1,1,2,,1,4,0,1,2,0.0,31,0.0,0.0,14,0.0,3,3890455,,,0.0,
6717,Johannes Geis,Schalke 04,25,3,1,23,4,0,0,2,2,,2,1,0,2,1,0.0,47,0.0,0.0,25,0.0,0,3890455,,,0.0,
8060,Klaas-Jan Huntelaar,Schalke 04,41,0,0,14,1,0,0,0,4,,1,1,0,0,4,0.0,17,0.0,0.0,16,0.0,3,3890455,,,0.0,
8243,Daniel Didavi,VfB Stuttgart,45,0,0,31,0,2,0,0,4,,5,1,0,2,3,0.0,37,0.0,0.0,27,0.0,1,3890455,,,0.0,
