player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,match_id,Player Off,Player On,Bad Behaviour
23538,Sadegh Moharrami,Iran,,17,4,1,20,2,2,2,1,4,,3,0,0,3,0,,,26,17,0.0,0,3857271,0.0,0.0,
23874,Ali Gholizadeh,Iran,,17,3,0,17,0,1,2,0,0,,0,1,0,2,0,,,16,3,0.0,0,3857271,0.0,0.0,
30714,Jude Bellingham,England,,92,12,3,76,0,1,2,0,4,,1,2,0,0,1,,,102,13,0.0,1,3857271,0.0,0.0,
124161,Mehdi Torabi,Iran,,9,2,1,10,0,0,1,1,0,,0,0,0,2,0,,,10,5,0.0,1,3857271,0.0,0.0,
124167,Ahmad Nourollahi,Iran,,16,5,0,14,4,0,0,1,0,,3,0,0,2,2,,,18,10,0.0,1,3857271,0.0,0.0,
124175,Mohammad Hossein Kanani Zadegan,Iran,,7,0,3,7,1,0,0,2,0,,0,1,0,2,0,,,11,4,1.0,0,3857271,0.0,0.0,
125818,Ali Karimi,Iran,,4,0,0,3,0,0,0,0,2,,2,1,0,0,0,,,5,14,0.0,0,3857271,0.0,0.0,
125823,Seyed Hossein Hosseini,Iran,,8,4,0,13,0,0,0,0,0,,0,0,14,0,0,,,20,0,0.0,0,3857271,0.0,0.0,
2954,Youri Tielemans,Belgium,1.0,9,1,3,8,0,0,0,0,1,,2,0,0,2,0,,,12,4,0.0,0,3857296,,,
3077,Jan Vertonghen,Belgium,0.0,76,3,2,70,6,0,0,0,0,,0,2,0,3,0,,,89,8,0.0,1,3857296,,,
3089,Kevin De Bruyne,Belgium,0.0,38,3,2,27,1,3,2,0,2,,0,0,0,0,1,,,38,9,0.0,2,3857296,,,
3176,Thomas Meunier,Belgium,0.0,58,5,2,52,3,1,1,3,5,,0,0,0,1,0,,,69,17,0.0,1,3857296,,,
3289,Romelu Lukaku Menama,Belgium,0.0,14,2,1,6,1,0,1,0,0,,1,1,0,0,0,,,8,8,0.0,5,3857296,,,
3471,Dejan Lovren,Croatia,0.0,42,2,1,38,4,0,0,1,1,,0,0,0,1,0,,,50,5,0.0,0,3857296,,,
3509,Thibaut Courtois,Belgium,0.0,21,4,0,20,0,0,0,0,0,,0,0,12,0,0,,,36,0,0.0,0,3857296,,,
3621,Eden Hazard,Belgium,0.0,2,0,0,3,0,0,1,0,0,,0,0,0,0,0,,,2,0,0.0,0,3857296,,,
5456,Mateo Kovačić,Croatia,1.0,63,2,0,50,2,1,0,0,2,,0,3,0,1,0,,,64,16,0.0,1,3857296,,,
5460,Andrej Kramarić,Croatia,0.0,42,1,1,25,0,1,0,0,0,,0,0,0,0,1,,,32,6,0.0,0,3857296,,,
5463,Luka Modrić,Croatia,0.0,55,5,0,42,0,0,2,2,4,,1,2,0,2,1,,,57,18,0.0,2,3857296,,,
5469,Marcelo Brozović,Croatia,1.0,74,8,1,67,2,0,0,1,4,,2,3,0,2,0,,,87,15,0.0,2,3857296,,,
5474,Ivan Perišić,Croatia,0.0,56,5,1,42,2,0,8,2,0,,1,0,0,1,4,,,42,33,0.0,2,3857296,,,
5630,Dries Mertens,Belgium,0.0,22,0,0,14,0,0,0,0,1,,0,0,0,0,0,,,18,5,0.0,2,3857296,,,
5632,Thorgan Hazard,Belgium,1.0,11,1,1,7,0,1,0,1,3,,0,0,0,0,1,,,11,10,0.0,0,3857296,,,
5633,Yannick Ferreira Carrasco,Belgium,1.0,42,3,1,34,0,0,2,0,0,,0,1,0,1,0,,,32,3,0.0,4,3857296,,,
5642,Axel Witsel,Belgium,1.0,48,1,3,39,4,1,0,1,1,,4,2,0,3,0,,,50,14,0.0,1,3857296,,,
6331,Leander Dendoncker,Belgium,0.0,42,3,1,36,1,0,1,0,2,,2,0,0,1,0,,,46,11,0.0,0,3857296,,,
6989,Timothy Castagne,Belgium,0.0,69,1,2,58,6,0,0,0,4,,1,0,0,0,1,,,83,10,0.0,0,3857296,,,
7693,Bruno Petković,Croatia,0.0,30,1,0,14,0,1,0,0,1,,0,2,0,0,1,,,19,3,0.0,0,3857296,,,
11603,Mario Pašalić,Croatia,0.0,12,1,1,5,0,0,0,1,3,,1,0,0,0,0,,,5,13,0.0,0,3857296,,,
12625,Borna Sosa,Croatia,0.0,77,6,1,61,7,0,4,1,1,,0,0,0,1,0,,,84,12,0.0,2,3857296,,,
16531,Dominik Livaković,Croatia,0.0,16,5,0,15,0,0,0,0,0,,0,0,18,0,0,,,34,0,0.0,0,3857296,,,
16559,Leandro Trossard,Belgium,0.0,41,3,1,30,1,1,1,0,1,,0,3,0,0,2,,,30,9,0.0,0,3857296,,,
20005,Toby Alderweireld,Belgium,0.0,81,4,3,76,7,0,0,2,4,,0,0,0,1,1,,,92,9,0.0,0,3857296,,,
22041,Marko Livaja,Croatia,1.0,31,1,0,13,0,0,0,0,1,,4,0,0,0,1,,,14,15,0.0,1,3857296,,,
23650,Jeremy Doku,Belgium,0.0,14,3,0,18,0,0,3,1,0,,0,1,0,0,1,,,14,2,0.0,0,3857296,,,
28914,Lovro Majer,Croatia,0.0,4,0,0,2,0,0,0,1,0,,0,0,0,0,0,,,2,1,0.0,0,3857296,,,
29163,Josip Juranović,Croatia,0.0,46,7,7,40,1,0,0,0,1,,0,0,0,2,2,,,58,13,1.0,1,3857296,,,
33018,Joško Gvardiol,Croatia,1.0,47,5,2,50,8,0,1,0,4,,2,0,0,2,0,,,61,14,0.0,0,3857296,,,
