player_id,player_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Pass,Player Off,Player On,Pressure,Shield,Shot,Bad Behaviour,Own Goal Against,50/50,Own Goal For,team_name
3070,Florent Mollet,58,7,3,55,0,1,4,3,1,0.0,1,2,0,5,4,0.0,58,0.0,0.0,41,0.0,2,0.0,0.0,1.0,0.0,Montpellier | Nantes
3071,Pierrick Capelle,48,3,1,37,3,1,3,3,7,0.0,3,1,0,1,5,0.0,42,0.0,0.0,30,0.0,0,0.0,0.0,0.0,0.0,Angers
3075,Javier Manquillo Gaitán,33,6,3,34,3,0,0,1,4,0.0,3,0,0,0,0,0.0,60,0.0,0.0,18,0.0,0,0.0,0.0,0.0,0.0,Olympique de Marseille
3077,Jan Vertonghen,162,4,3,138,6,0,0,1,6,0.0,1,1,0,0,1,0.0,171,0.0,0.0,11,0.0,0,1.0,1.0,0.0,0.0,Belgium
3083,Heung-Min Son,37,5,1,24,1,5,3,0,1,0.0,1,0,0,1,1,0.0,18,0.0,0.0,12,0.0,2,0.0,0.0,0.0,0.0,Bayer Leverkusen
3084,Christian Atsu Twasam,3,1,0,4,0,0,2,0,1,0.0,0,0,0,0,0,0.0,2,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Málaga
3086,Ben Davies,57,7,5,49,12,2,1,1,7,0.0,2,1,0,1,0,0.0,84,0.0,0.0,26,0.0,3,1.0,0.0,0.0,0.0,Wales
3089,Kevin De Bruyne,74,5,2,58,2,2,1,1,0,0.0,3,1,0,0,0,0.0,77,0.0,0.0,21,0.0,1,0.0,0.0,0.0,0.0,Belgium
3090,Nicolás Hernán Otamendi,559,31,11,520,39,0,0,6,29,1.0,13,6,0,11,1,0.0,665,0.0,0.0,63,1.0,4,2.0,0.0,0.0,0.0,Argentina
3091,Moussa Sissoko,52,4,6,40,0,1,1,1,4,0.0,2,1,0,2,1,0.0,53,0.0,0.0,27,0.0,2,0.0,0.0,0.0,0.0,France | Nantes
3093,Florian Grégoire Claude Lejeune,33,5,9,26,8,1,0,2,5,0.0,6,0,0,2,0,0.0,43,0.0,0.0,33,0.0,1,0.0,0.0,0.0,0.0,Deportivo Alavés
3097,Pascal Groß,303,25,11,228,5,12,4,6,28,0.0,8,11,0,3,7,0.0,328,0.0,0.0,142,0.0,10,1.0,0.0,0.0,0.0,Germany | Ingolstadt
3099,Hugo Lloris,38,10,0,34,0,0,0,0,0,0.0,1,1,60,0,0,0.0,96,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,France
3102,Yann Jouffre,18,1,0,17,0,1,2,1,0,0.0,0,1,0,1,0,0.0,22,0.0,0.0,6,0.0,0,0.0,0.0,0.0,0.0,Lorient
3105,Gauthier Hein,69,5,0,55,0,2,4,3,0,0.0,1,0,0,0,1,0.0,60,0.0,0.0,23,0.0,4,0.0,0.0,0.0,0.0,Auxerre
3108,Baptiste Santamaría,7,0,2,5,0,0,1,0,2,0.0,1,0,0,1,0,0.0,6,0.0,0.0,11,0.0,0,0.0,0.0,1.0,0.0,Rennes
3109,Malcom Filipe Silva de Oliveira,90,5,3,56,1,6,4,0,7,0.0,5,7,0,2,3,0.0,62,0.0,0.0,28,0.0,3,0.0,0.0,0.0,0.0,Barcelona | Bordeaux
3111,Gilles Sunu,23,3,2,10,0,2,0,2,2,0.0,0,0,0,0,2,0.0,13,0.0,0.0,12,0.0,1,0.0,0.0,0.0,0.0,Angers
3114,Emiliano Sala,133,6,5,41,1,5,1,1,16,0.0,11,6,0,0,9,0.0,48,0.0,0.0,43,0.0,8,1.0,0.0,1.0,0.0,Nantes
3117,Lucas Tousart,15,6,7,19,4,1,3,1,4,0.0,1,1,0,4,2,0.0,22,0.0,0.0,19,0.0,0,0.0,0.0,1.0,0.0,Union Berlin
