country,roster_name,position,shirt_number
Curaçao (CUW),CHONG Tahith,Midfielder,21
Curaçao (CUW),FELIDA Kevin,Midfielder,22
Curaçao (CUW),BAZOER Riechedly,Defender,23
Curaçao (CUW),FONVILLE Deveron,Defender,24
Curaçao (CUW),BODAK Tyrick,Goalkeeper,25
Curaçao (CUW),DOORNBUSCH Trevor,Goalkeeper,26
Czechia (CZE),ZIMA David,Defender,2
Czechia (CZE),CHALOUPEK Stepan,Defender,6
Czechia (CZE),ZELENY Jaroslav,Defender,20
Czechia (CZE),HORNICEK Lukas,Goalkeeper,23
Czechia (CZE),SOJKA Alexandr,Midfielder,24
Czechia (CZE),SOCHUREK Hugo,Midfielder,25
Czechia (CZE),VISINSKY Denis,Forward,26
Côte D'Ivoire (CIV),KOSSOUNOU Odilon,Defender,7
Côte D'Ivoire (CIV),BONNY Ange-Yoan,Forward,9
Côte D'Ivoire (CIV),DIOMANDE Yan,Forward,11
Côte D'Ivoire (CIV),WAHI Elye,Forward,12
Côte D'Ivoire (CIV),OPERI Christopher,Defender,13
Côte D'Ivoire (CIV),DIALLO Amad,Forward,15
Côte D'Ivoire (CIV),KONE Mohamed,Goalkeeper,16
Côte D'Ivoire (CIV),DOUE Guela,Defender,17
Côte D'Ivoire (CIV),AGBADOU Emmanuel,Defender,20
Côte D'Ivoire (CIV),GUESSAND Evann,Forward,22
Côte D'Ivoire (CIV),LAFONT Alban,Goalkeeper,23
Côte D'Ivoire (CIV),TOURE Bazoumana,Forward,24
Côte D'Ivoire (CIV),GUIAGON Parfait,Midfielder,25
Côte D'Ivoire (CIV),OULAI Christ,Midfielder,26
Ecuador (ECU),ORDONEZ Joel,Defender,4
Ecuador (ECU),ALCIVAR Jordy,Midfielder,5
Ecuador (ECU),VALENCIA Anthony,Midfielder,8
Ecuador (ECU),RAMIREZ Moises,Goalkeeper,12
Ecuador (ECU),VITE Pedro,Midfielder,15
Ecuador (ECU),CASTILLO Denil,Midfielder,18
Ecuador (ECU),ANGULO Nilson,Forward,20
Ecuador (ECU),VALLE Gonzalo,Goalkeeper,22
Ecuador (ECU),AREVALO Jeremy,Forward,24
Ecuador (ECU),MEDINA Yaimar,Defender,26
Egypt (EGY),MOHAMED ELSHENAWY,Goalkeeper,1
Egypt (EGY),YASSER IBRAHIM,Defender,2
Egypt (EGY),HOSSAM ABDELMAGUID,Defender,4
Egypt (EGY),RAMY RABIA,Defender,5
Egypt (EGY),MOHAMED ABDELMONEIM,Defender,6
Egypt (EGY),TREZEGUET Mahmoud,Forward,7
Egypt (EGY),HAMZA ABDELKARIM,Forward,9
Egypt (EGY),MOSTAFA ZICO,Midfielder,11
Egypt (EGY),HAISSEM HASSAN,Forward,12
Egypt (EGY),AHMED FATOUH,Defender,13
Egypt (EGY),HAMDY FATHY,Midfielder,14
Egypt (EGY),KARIM HAFEZ,Defender,15
Egypt (EGY),MAHDY SOLIMAN,Goalkeeper,16
Egypt (EGY),MOHANAD LASHIN,Midfielder,17
Egypt (EGY),NABIL DONGA,Midfielder,18
Egypt (EGY),MARAWAN ATTIA,Midfielder,19
Egypt (EGY),IBRAHIM ADEL,Forward,20
Egypt (EGY),MAHMOUD SABER,Midfielder,21
Egypt (EGY),MOSTAFA SHOUBIR,Goalkeeper,23
Egypt (EGY),TAREK ALAA,Defender,24
Egypt (EGY),ZIZO Ahmed,Forward,25
Egypt (EGY),MOHAMED ALAA,Goalkeeper,26
England (ENG),OREILLY Nico,Defender,3
England (ENG),ANDERSON Elliot,Midfielder,8
England (ENG),CHALOBAH Trevoh,Defender,12
England (ENG),HENDERSON Dean,Goalkeeper,13
England (ENG),BURN Dan,Defender,15
England (ENG),ROGERS Morgan,Midfielder,17
England (ENG),MADUEKE Noni,Forward,20
England (ENG),TRAFFORD James,Goalkeeper,23
England (ENG),SPENCE Djed,Defender,25
England (ENG),QUANSAH Jarell,Defender,26
France (FRA),SAMBA Brice,Goalkeeper,1
France (FRA),GUSTO Malo,Defender,2
France (FRA),UPAMECANO Dayot,Defender,4
France (FRA),KONE Manu,Midfielder,6
France (FRA),OLISE Michael,Forward,11
France (FRA),KANTE Ngolo,Midfielder,13
France (FRA),ZAIRE-EMERY Warren,Midfielder,18
France (FRA),DOUE Desire,Forward,20
France (FRA),MATETA Jean-Philippe,Forward,22
France (FRA),RISSER Robin,Goalkeeper,23
France (FRA),CHERKI Rayan,Midfielder,24
France (FRA),AKLIOUCHE Maghnes,Midfielder,25
France (FRA),LACROIX Maxence,Defender,26
Germany (GER),RUEDIGER Antonio,Defender,2
Germany (GER),PAVLOVIC Aleksandar,Midfielder,5
Germany (GER),LEWELING Jamie,Midfielder,9
Germany (GER),WOLTEMADE Nick,Forward,11
Germany (GER),BAUMANN Oliver,Goalkeeper,12
Germany (GER),GROSS Pascal,Midfielder,13
Germany (GER),STILLER Angelo,Midfielder,16
Germany (GER),BROWN Nathaniel,Defender,18
Germany (GER),AMIRI Nadiem,Midfielder,20
Germany (GER),NUEBEL Alexander,Goalkeeper,21
Germany (GER),NMECHA Felix,Midfielder,23
Germany (GER),THIAW Malick,Defender,24
Germany (GER),OUEDRAOGO Assan,Midfielder,25
Ghana (GHA),YIRENKYI Caleb,Midfielder,3
Ghana (GHA),ADJETEY Jonas,Defender,4
Ghana (GHA),MUMIN Abdul,Defender,6
Ghana (GHA),SIBO Kwasi,Midfielder,8
Ghana (GHA),THOMAS-ASANTE Brandon,Forward,10
Ghana (GHA),ANANG Joseph,Goalkeeper,12
Ghana (GHA),BONSU BAAH,Forward,13
Ghana (GHA),ASARE Benjamin,Goalkeeper,16
Ghana (GHA),OPOKU Jerome,Defender,18
Ghana (GHA),BOAKYE Augustine,Midfielder,20
Ghana (GHA),OPPONG Kojo,Defender,21
Ghana (GHA),LUCKASSEN Derrick,Defender,23
Ghana (GHA),ADU Prince,Forward,25
Ghana (GHA),SENAYA Marvin,Defender,26
Haiti (HAI),PLACIDE Johny,Goalkeeper,1
Haiti (HAI),ARCUS Carlens,Defender,2
Haiti (HAI),THERMONCY Keeto,Defender,3
Haiti (HAI),ADE Ricardo,Defender,4
Haiti (HAI),DELCROIX Hannes,Defender,5
Haiti (HAI),SAINTE Carl,Midfielder,6
Haiti (HAI),ETIENNE Derrick,Forward,7
Haiti (HAI),EXPERIENCE Martin,Defender,8
Haiti (HAI),NAZON Duckens,Forward,9
Haiti (HAI),BELLEGARDE Jean-Ricner,Midfielder,10
Haiti (HAI),DEEDSON Louicius,Forward,11
Haiti (HAI),PIERRE Alexandre,Goalkeeper,12
Haiti (HAI),LACROIX Markhus,Defender,13
Haiti (HAI),METUSALA Garven,Defender,14
Haiti (HAI),PROVIDENCE Ruben,Forward,15
Haiti (HAI),JOSEPH Lenny,Forward,16
Haiti (HAI),JEAN JACQUES,Midfielder,17
Haiti (HAI),ISIDOR Wilson,Forward,18
Haiti (HAI),FORTUNE Yassin,Forward,19
Haiti (HAI),PIERROT Frantzdy,Forward,20
Haiti (HAI),CASIMIR Josue,Forward,21
Haiti (HAI),DUVERNE Jean-Kevin,Defender,22
Haiti (HAI),DUVERGER Josue,Goalkeeper,23
Haiti (HAI),PAUGAIN Wilguens,Defender,24
Haiti (HAI),SIMON Dominique,Midfielder,25
Haiti (HAI),PIERRE Woodensky,Midfielder,26
IR Iran (IRN),HARDANI Saleh,Defender,2
IR Iran (IRN),HAJISAFI Ehsan,Defender,3
IR Iran (IRN),KHALILZADEH Shoja,Defender,4
IR Iran (IRN),MOHEBBI Mohammad,Midfielder,8
IR Iran (IRN),GHAYEDI Mehdi,Forward,10
IR Iran (IRN),ALIPOUR Ali,Forward,11
IR Iran (IRN),NIAZMAND Payam,Goalkeeper,12
IR Iran (IRN),YOUSEFI Arya,Defender,17
IR Iran (IRN),HOSSEINZADEH Amirhossein,Forward,18
IR Iran (IRN),NEMATI Ali,Defender,19
IR Iran (IRN),MOGHANLOO Shahriyar,Forward,20
IR Iran (IRN),GHORBANI Mohammad,Midfielder,21
IR Iran (IRN),DARGAHI Dennis,Forward,24
IR Iran (IRN),IRI Danial,Defender,25
IR Iran (IRN),RAZAGHINIA Amirmohammad,Midfielder,26
Iraq (IRQ),FAHAD TALIB,Goalkeeper,1
Iraq (IRQ),REBIN SULAKA,Defender,2
Iraq (IRQ),HUSSEIN ALI,Defender,3
Iraq (IRQ),ZAID TAHSEEN,Defender,4
Iraq (IRQ),AKAM HASHIM,Defender,5
Iraq (IRQ),MUNAF YOUNUS,Defender,6
Iraq (IRQ),YOUSSEF AMYN,Midfielder,7
Iraq (IRQ),IBRAHIM BAYESH,Midfielder,8
Iraq (IRQ),ALI ALHAMADI,Forward,9
Iraq (IRQ),MOHANAD ALI,Forward,10
Iraq (IRQ),AHMED QASEM,Forward,11
Iraq (IRQ),JALAL HASSAN,Goalkeeper,12
Iraq (IRQ),ALI YOUSIF,Forward,13
Iraq (IRQ),ZIDANE IQBAL,Midfielder,14
Iraq (IRQ),AHMED MAKNAZI,Defender,15
Iraq (IRQ),AMIR ALAMMARI,Midfielder,16
Iraq (IRQ),ALI JASIM,Forward,17
Iraq (IRQ),AYMEN HUSSEIN,Forward,18
Iraq (IRQ),KEVIN YAKOB,Midfielder,19
Iraq (IRQ),AIMAR SHER,Midfielder,20
Iraq (IRQ),MARKO FARJI,Forward,21
Iraq (IRQ),AHMED BASIL,Goalkeeper,22
Iraq (IRQ),MERCHAS DOSKI,Defender,23
Iraq (IRQ),ZAID ISMAEL,Midfielder,24
Iraq (IRQ),MUSTAFA SAADOON,Defender,25
Iraq (IRQ),FRANS PUTROS,Defender,26
Japan (JPN),SUZUKI Zion,Goalkeeper,1
Japan (JPN),SUGAWARA Yukinari,Defender,2
Japan (JPN),ITAKURA Kou,Defender,4
Japan (JPN),MACHINO Shuto,Forward,6
Japan (JPN),GOTO Keisuke,Forward,9
Japan (JPN),OSAKO Keisuke,Goalkeeper,12
Japan (JPN),NAKAMURA Keito,Midfielder,13
Japan (JPN),WATANABE Tsuyoshi,Defender,16
Japan (JPN),SUZUKI Yuito,Midfielder,17
Japan (JPN),OGAWA Koki,Forward,19
Japan (JPN),SEKO Ayumu,Defender,20
Japan (JPN),HAYAKAWA Tomoki,Goalkeeper,23
Japan (JPN),SANO Kaishu,Midfielder,24
Japan (JPN),SUZUKI Junnosuke,Defender,25
Japan (JPN),SHIOGAI Kento,Forward,26
Jordan (JOR),YAZEED ABULAILA,Goalkeeper,1
Jordan (JOR),MOHAMMAD ABUHASHEESH,Defender,2
Jordan (JOR),ABDALLAH NASIB,Defender,3
Jordan (JOR),HUSAM ABUDAHAB,Defender,4
Jordan (JOR),YAZAN ALARAB,Defender,5
Jordan (JOR),AMER JAMOUS,Midfielder,6
Jordan (JOR),MOHAMMAD ABUZRAIQ,Forward,7
Jordan (JOR),NOOR ALRAWABDEH,Midfielder,8
Jordan (JOR),ALI OLWAN,Forward,9
Jordan (JOR),MOUSA ALTAMARI,Forward,10
Jordan (JOR),ODEH FAKHOURY,Forward,11
Jordan (JOR),NOUR BANIATEYAH,Goalkeeper,12
Jordan (JOR),MAHMOUD ALMARDI,Forward,13
Jordan (JOR),RAJAEI AYED,Midfielder,14
Jordan (JOR),IBRAHIM SADEH,Midfielder,15
Jordan (JOR),MOHAMMAD ABUALNADI,Defender,16
Jordan (JOR),SALEEM OBAID,Defender,17
Jordan (JOR),MOHAMMAD ABUGHOUSH,Midfielder,18
Jordan (JOR),SAED ALROSAN,Defender,19
Jordan (JOR),MOHANNAD ABUTAHA,Midfielder,20
Jordan (JOR),NIZAR ALRASHDAN,Midfielder,21
Jordan (JOR),ABDALLAH ALFAKHORI,Goalkeeper,22
Jordan (JOR),EHSAN HADDAD,Defender,23
Jordan (JOR),ALI AZAIZEH,Forward,24
Jordan (JOR),MOHAMMAD ALDAOUD,Midfielder,25
Jordan (JOR),ANAS BADAWI,Defender,26
Korea Republic (KOR),KIM Seunggyu,Goalkeeper,1
Korea Republic (KOR),LEE Hanbeom,Defender,2
Korea Republic (KOR),LEE Gihyuk,Midfielder,3
Korea Republic (KOR),KIM Minjae,Defender,4
Korea Republic (KOR),KIM Taehyeon,Defender,5
Korea Republic (KOR),HWANG Inbeom,Midfielder,6
Korea Republic (KOR),SON Heungmin,Forward,7
Korea Republic (KOR),PAIK Seungho,Midfielder,8
Korea Republic (KOR),CHO Guesung,Forward,9
Korea Republic (KOR),LEE Jaesung,Midfielder,10
