roster_index,country,roster_name,candidate_player_id,candidate_name,candidate_team,candidate_count,decision,notes
582,IR Iran (IRN),ALIPOUR Ali,5192,Yehya Sulaiman Ali Al-Shehri,Saudi Arabia,15,,
582,IR Iran (IRN),ALIPOUR Ali,5254,Ali Gabr,Egypt,15,,
582,IR Iran (IRN),ALIPOUR Ali,5647,Ali Maâloul,Tunisia,15,,
582,IR Iran (IRN),ALIPOUR Ali,5715,Ali Albulayhi,Saudi Arabia,15,,
582,IR Iran (IRN),ALIPOUR Ali,6290,Motaz Ali Hassan Hawsawi,Saudi Arabia,15,,
582,IR Iran (IRN),ALIPOUR Ali,23874,Ali Gholizadeh,Iran,15,,
582,IR Iran (IRN),ALIPOUR Ali,30681,Ali Abdi,Tunisia,15,,
582,IR Iran (IRN),ALIPOUR Ali,50938,Ali Sowe,Gambia,15,,
582,IR Iran (IRN),ALIPOUR Ali,51096,Ali Al Hassan,Saudi Arabia,15,,
582,IR Iran (IRN),ALIPOUR Ali,102816,Mohamed Ali Ben Romdhane,Tunisia,15,,
582,IR Iran (IRN),ALIPOUR Ali,124495,Almoez Ali Zainalabiddin Abdulla,Qatar,15,,
582,IR Iran (IRN),ALIPOUR Ali,125818,Ali Karimi,Iran,15,,
582,IR Iran (IRN),ALIPOUR Ali,149463,Ali Assadalla Thaimn Qambar,Qatar,15,,
582,IR Iran (IRN),ALIPOUR Ali,224628,Ali Ahmed,Canada,15,,
699,Korea Republic (KOR),KIM Jingyu,40538,Jin-Su Kim,Hoffenheim | South Korea,1,,
741,Morocco (MAR),DIOP Issa,4349,Issa Diop,Toulouse,1,,
760,Netherlands (NED),KLUIVERT Justin,8063,Justin Kluivert,OGC Nice,1,,
774,Netherlands (NED),DE JONG,8118,Frenkie de Jong,Barcelona | Netherlands | Netherlands,2,,
774,Netherlands (NED),DE JONG,20033,Luuk de Jong,Netherlands | Netherlands | Sevilla,2,,
828,Norway (NOR),HAUGE Jens,29925,Jens Petter Hauge,Eintracht Frankfurt,1,,
831,Norway (NOR),RYERSON Julian,12387,Julian Ryerson,Borussia Dortmund,1,,
865,Paraguay (PAR),GOMEZ Diego,222155,Diego Alexander Gómez Amarilla,Inter Miami,1,,
866,Paraguay (PAR),SANABRIA Antonio,6880,Arnaldo Antonio Sanabria Ayala,Real Betis | Sporting Gijón,1,,
868,Paraguay (PAR),MAURICIO Mauricio,7692,Mauricio Lemos Merladet,Las Palmas,3,,
868,Paraguay (PAR),MAURICIO Mauricio,18874,Mauricio Aníbal Isla Isla,Chile | Chile | Olympique de Marseille,3,,
868,Paraguay (PAR),MAURICIO Mauricio,27463,Mauricio Andrés Cuero Castillo,Levante UD,3,,
899,Portugal (POR),FRANCISCO TRINCAO,22390,Francisco António Machado Mota de Castro Trincão,Barcelona,1,,
905,Portugal (POR),RUI SILVA,24140,Rui Tiago Dantas da Silva,Granada,1,,
929,Qatar (QAT),AHMED FATHY,5250,Ahmed Fathy Abdel Meneim Ibrahim,Egypt,1,,
988,Senegal (SEN),DIOUF Yehvann,24987,Yehvann Diouf,Stade de Reims,1,,
1010,Senegal (SEN),DIAW Mory,48502,Mory Diaw,Clermont Foot,1,,
1011,Senegal (SEN),MENDY Antoine,117109,Antoine Mendy,OGC Nice,1,,
1051,Spain (ESP),PORRO Pedro,11292,Pedro Antonio Porro Sauceda,Girona | Real Valladolid,1,,
1065,Spain (ESP),IGLESIAS Borja,11391,Borja Iglesias Quintas,Bayer Leverkusen | Espanyol | Real Betis,1,,
1070,Sweden (SWE),GUDMUNDSSON Gabriel,29594,Gabriel Gudmundsson,Lille,1,,
1084,Sweden (SWE),SVANBERG Mattias,15879,Mattias Svanberg,Wolfsburg,1,,
1103,Switzerland (SUI),MVOGO Yvon,11467,Yvon Landry Mvogo,Lorient,1,,
1128,Tunisia (TUN),GHARBI Ismael,105848,Ismaël Gharbi,Paris Saint-Germain,1,,
1130,Tunisia (TUN),KHEDIRA Rani,9402,Rani Khedira,Union Berlin,1,,
1137,Tunisia (TUN),VALERY Yan,22117,Yan Valery,Angers,1,,
1158,Türkiye (TUR),KABAK Ozan,20770,Ozan Muhammed Kabak,Hoffenheim,1,,
1210,Uruguay (URU),MARTINEZ Emiliano,6909,Damián Emiliano Martínez,Argentina,1,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,5257,Mahmoud Abdul Monem Abdelhamid Soliman,Egypt,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,5263,Mohamed Abdul Shafy Sayed Abouezeid,Egypt,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,7615,Abdul Majeed Waris,Lorient,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,12325,Abdul Rahman Baba,Ghana,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,31015,Abdu Conté,Troyes,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,31029,Salis Abdul Samed,Ghana | Lens,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,51710,Saud Abdullah Abdul Hamid,Saudi Arabia,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,124495,Almoez Ali Zainalabiddin Abdulla,Qatar,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,136306,Abdul Fatawu Issahaku,Ghana,10,,
1239,Uzbekistan (UZB),ABDULLAEV Abdulla,389294,Nouh Mohamed El Abd,Mauritania,10,,
