country,country_clean,roster_name,position,shirt_number,player_id,database_name,database_team,matched,match_method
Ecuador (ECU),Ecuador,ALCIVAR Jordy,Midfielder,5,,,,False,unmatched
Ecuador (ECU),Ecuador,VALENCIA Anthony,Midfielder,8,,,,False,unmatched
Ecuador (ECU),Ecuador,RAMIREZ Moises,Goalkeeper,12,,,,False,unmatched
Ecuador (ECU),Ecuador,VITE Pedro,Midfielder,15,,,,False,unmatched
Ecuador (ECU),Ecuador,CASTILLO Denil,Midfielder,18,,,,False,unmatched
Ecuador (ECU),Ecuador,ANGULO Nilson,Forward,20,,,,False,unmatched
Ecuador (ECU),Ecuador,VALLE Gonzalo,Goalkeeper,22,,,,False,unmatched
Ecuador (ECU),Ecuador,AREVALO Jeremy,Forward,24,,,,False,unmatched
Ecuador (ECU),Ecuador,MEDINA Yaimar,Defender,26,,,,False,unmatched
Egypt (EGY),Egypt,YASSER IBRAHIM,Defender,2,,,,False,unmatched
Egypt (EGY),Egypt,HOSSAM ABDELMAGUID,Defender,4,,,,False,unmatched
Egypt (EGY),Egypt,RAMY RABIA,Defender,5,,,,False,unmatched
Egypt (EGY),Egypt,HAMZA ABDELKARIM,Forward,9,,,,False,unmatched
Egypt (EGY),Egypt,MOSTAFA ZICO,Midfielder,11,,,,False,unmatched
Egypt (EGY),Egypt,HAISSEM HASSAN,Forward,12,,,,False,unmatched
Egypt (EGY),Egypt,KARIM HAFEZ,Defender,15,,,,False,unmatched
Egypt (EGY),Egypt,MAHDY SOLIMAN,Goalkeeper,16,,,,False,unmatched
Egypt (EGY),Egypt,NABIL DONGA,Midfielder,18,,,,False,unmatched
Egypt (EGY),Egypt,IBRAHIM ADEL,Forward,20,,,,False,unmatched
Egypt (EGY),Egypt,MAHMOUD SABER,Midfielder,21,,,,False,unmatched
Egypt (EGY),Egypt,MOSTAFA SHOUBIR,Goalkeeper,23,,,,False,unmatched
Egypt (EGY),Egypt,TAREK ALAA,Defender,24,,,,False,unmatched
Egypt (EGY),Egypt,MOHAMED ALAA,Goalkeeper,26,,,,False,unmatched
England (ENG),England,OREILLY Nico,Defender,3,,,,False,unmatched
England (ENG),England,ANDERSON Elliot,Midfielder,8,,,,False,unmatched
England (ENG),England,CHALOBAH Trevoh,Defender,12,,,,False,unmatched
England (ENG),England,HENDERSON Dean,Goalkeeper,13,,,,False,unmatched
England (ENG),England,BURN Dan,Defender,15,,,,False,unmatched
England (ENG),England,ROGERS Morgan,Midfielder,17,,,,False,unmatched
England (ENG),England,MADUEKE Noni,Forward,20,,,,False,unmatched
England (ENG),England,TRAFFORD James,Goalkeeper,23,,,,False,unmatched
