player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,Player Off,Player On,Bad Behaviour
7379,Edouard Mendy,Senegal,0.0,59,16,1,53,0,0,0,0,0,0.0,0,0,49,0,0,0.0,0.0,117,0,0.0,0,0.0,0.0,0.0
7426,Jean-Charles Castelletto,Cameroon,0.0,62,8,4,63,16,0,1,1,2,0.0,1,1,0,6,1,0.0,0.0,78,20,0.0,1,0.0,0.0,0.0
7439,Axel Disasi,France,0.0,53,2,0,47,5,1,1,3,3,0.0,0,2,0,4,0,0.0,0.0,75,8,0.0,1,0.0,0.0,0.0
7459,Jawad El Yamiq,Morocco,0.0,126,13,8,123,20,0,0,0,4,0.0,2,5,0,5,0,0.0,0.0,160,18,0.0,1,0.0,0.0,0.0
7472,Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,0.0,79,12,4,79,8,0,1,2,4,1.0,2,2,0,3,0,0.0,0.0,93,17,0.0,3,0.0,0.0,0.0
7551,Enzo Ebosse,Cameroon,0.0,30,1,3,25,3,0,0,0,3,0.0,1,0,0,0,0,0.0,0.0,39,16,0.0,0,0.0,0.0,0.0
7693,Bruno Petković,Croatia,0.0,127,9,3,76,0,14,3,2,19,0.0,3,11,0,0,5,0.0,0.0,80,30,0.0,1,1.0,1.0,1.0
7745,Steven Berghuis,Netherlands,0.0,120,9,1,108,1,1,5,1,5,0.0,4,1,0,0,1,0.0,0.0,128,31,0.0,6,0.0,0.0,1.0
7796,Silvan Widmer,Switzerland,1.0,134,7,5,106,15,9,0,2,13,0.0,4,2,0,4,2,0.0,0.0,164,37,0.0,1,0.0,0.0,0.0
7797,Rodrigo Javier De Paul,Argentina,4.0,538,37,8,461,4,5,13,8,15,0.0,10,16,0,10,11,0.0,0.0,563,111,1.0,7,1.0,1.0,0.0
7829,Wout Weghorst,Netherlands,0.0,25,1,4,7,1,0,0,0,4,0.0,5,1,0,0,1,0.0,0.0,16,30,0.0,3,0.0,0.0,1.0
7843,Mason Mount,England,0.0,96,7,3,65,0,3,4,1,8,0.0,8,10,0,1,2,0.0,0.0,74,43,1.0,4,0.0,0.0,0.0
7891,Teun Koopmeiners,Netherlands,2.0,107,12,7,99,3,4,1,5,8,0.0,6,1,0,4,4,0.0,0.0,120,55,0.0,3,0.0,0.0,0.0
7979,Przemysław Frankowski,Poland,0.0,85,11,3,59,5,3,1,6,9,0.0,2,5,0,3,4,0.0,0.0,73,39,0.0,1,0.0,0.0,0.0
7993,Filip Mladenović,Serbia,0.0,19,3,2,15,1,1,2,2,1,0.0,0,0,0,0,0,0.0,0.0,24,13,0.0,1,0.0,0.0,0.0
8064,André Onana,Cameroon,0.0,38,3,0,38,0,0,0,0,0,0.0,0,0,9,0,0,0.0,0.0,60,0,0.0,0,0.0,0.0,0.0
8069,Matthijs de Ligt,Netherlands,0.0,36,2,0,34,3,1,0,0,2,0.0,5,1,0,1,0,0.0,0.0,45,8,0.0,0,0.0,0.0,0.0
8108,Lawrence Ati-Zigi,Ghana,0.0,24,8,0,24,0,0,0,0,0,0.0,0,0,50,0,0,0.0,0.0,76,0,0.0,0,0.0,0.0,0.0
8118,Frenkie de Jong,Netherlands,1.0,323,23,13,272,6,6,11,4,15,0.0,6,8,0,3,2,0.0,0.0,364,80,0.0,2,0.0,0.0,0.0
8125,Denzel Dumfries,Netherlands,2.0,216,10,13,157,7,10,6,1,20,0.0,19,8,0,5,8,1.0,0.0,218,69,2.0,2,0.0,0.0,2.0
8217,Kingsley Coman,France,2.0,83,9,4,89,1,9,12,1,9,0.0,1,6,0,3,8,0.0,0.0,70,40,0.0,2,0.0,0.0,0.0
8227,Mario Götze,Germany,0.0,15,2,1,14,0,2,3,0,3,0.0,0,1,0,0,1,0.0,0.0,16,16,0.0,1,0.0,0.0,0.0
8246,Christian Pulisic,United States,0.0,174,20,6,146,1,11,13,3,7,0.0,2,12,0,0,10,0.0,0.0,139,44,0.0,9,2.0,2.0,0.0
8247,Joachim Andersen,Denmark,0.0,205,13,2,193,17,0,1,2,13,0.0,5,4,0,4,1,0.0,0.0,245,25,0.0,4,0.0,0.0,0.0
8259,Steven Bergwijn,Netherlands,0.0,103,5,1,67,1,1,4,1,4,0.0,2,4,0,0,6,0.0,0.0,71,20,0.0,2,0.0,0.0,1.0
8326,Andries Noppert,Netherlands,0.0,99,26,0,93,0,0,0,0,0,0.0,0,0,86,0,0,0.0,0.0,191,0,1.0,0,0.0,0.0,0.0
8346,Craig Goodwin,Australia,0.0,101,8,8,68,3,4,0,3,10,0.0,1,2,0,1,2,0.0,0.0,94,22,0.0,2,0.0,0.0,0.0
