match_id,match_date,kick_off,year,home_team,away_team,home_score,away_score,competition_stage
3857280,2022-12-02,19:00:00.000,2022,Cameroon,Brazil,1,0,Group Stage
3869117,2022-12-03,17:00:00.000,2022,Netherlands,United States,3,1,Round of 16
3869151,2022-12-03,21:00:00.000,2022,Argentina,Australia,2,1,Round of 16
3869152,2022-12-04,17:00:00.000,2022,France,Poland,3,1,Round of 16
3869118,2022-12-04,21:00:00.000,2022,England,Senegal,3,0,Round of 16
3869219,2022-12-05,17:00:00.000,2022,Japan,Croatia,1,1,Round of 16
3869253,2022-12-05,21:00:00.000,2022,Brazil,South Korea,4,1,Round of 16
3869220,2022-12-06,17:00:00.000,2022,Morocco,Spain,0,0,Round of 16
3869254,2022-12-06,21:00:00.000,2022,Portugal,Switzerland,6,1,Round of 16
3869420,2022-12-09,17:00:00.000,2022,Croatia,Brazil,1,1,Quarter-finals
3869321,2022-12-09,19:00:00.000,2022,Netherlands,Argentina,2,2,Quarter-finals
3869486,2022-12-10,17:00:00.000,2022,Morocco,Portugal,1,0,Quarter-finals
3869354,2022-12-10,21:00:00.000,2022,England,France,1,2,Quarter-finals
3869519,2022-12-13,21:00:00.000,2022,Argentina,Croatia,3,0,Semi-finals
3869552,2022-12-14,21:00:00.000,2022,France,Morocco,2,0,Semi-finals
3869684,2022-12-17,17:00:00.000,2022,Croatia,Morocco,2,1,3rd Place Final
3869685,2022-12-18,17:00:00.000,2022,Argentina,France,3,3,Final
